Date,Confirmed,Recovered,Deaths
2020/1/22,1,0,0
2020/1/23,1,0,0
2020/1/24,2,0,0
2020/1/25,2,0,0
2020/1/26,5,0,0
2020/1/27,5,0,0
2020/1/28,5,0,0
2020/1/29,6,0,0
2020/1/30,6,0,0
2020/1/31,8,0,0
2020/2/1,8,0,0
2020/2/2,8,0,0
2020/2/3,11,0,0
2020/2/4,11,0,0
2020/2/5,11,0,0
2020/2/6,12,0,0
2020/2/7,12,0,0
2020/2/8,12,0,0
2020/2/9,12,3,0
2020/2/10,12,3,0
2020/2/11,13,3,0
2020/2/12,13,3,0
2020/2/13,14,3,0
2020/2/14,14,3,0
2020/2/15,14,3,0
2020/2/16,14,3,0
2020/2/17,14,3,0
2020/2/18,14,3,0
2020/2/19,14,3,0
2020/2/20,14,3,0
2020/2/21,16,5,0
2020/2/22,16,5,0
2020/2/23,16,5,0
2020/2/24,16,5,0
2020/2/25,16,6,0
2020/2/26,16,6,0
2020/2/27,17,6,0
2020/2/28,17,7,0
2020/2/29,25,7,1
2020/3/1,32,7,1
2020/3/2,55,7,6
2020/3/3,74,7,7
2020/3/4,107,7,11
2020/3/5,184,7,12
2020/3/6,237,7,14
2020/3/7,403,7,17
2020/3/8,519,7,21
2020/3/9,594,7,22
2020/3/10,782,8,28
2020/3/11,1147,8,33
2020/3/12,1586,12,43
2020/3/13,2219,12,51
2020/3/14,2978,12,58
2020/3/15,3212,12,70
2020/3/16,4679,17,97
2020/3/17,6512,17,134
2020/3/18,9169,105,194
2020/3/19,13663,121,266
2020/3/20,20030,147,372
2020/3/21,26025,176,475
2020/3/22,34898,178,596
2020/3/23,46136,178,788
2020/3/24,56755,348,1031
2020/3/25,68837,361,1364
2020/3/26,86693,681,1784
2020/3/27,105383,869,2306
2020/3/28,125013,1072,2948
2020/3/29,143912,2665,3572
2020/3/30,165987,5644,4285
2020/3/31,192301,7024,5370
2020/4/1,224544,8474,6654
2020/4/2,256779,9001,8166
2020/4/3,289066,9707,9596
2020/4/4,321482,14652,11161
2020/4/5,351359,17448,12774
2020/4/6,382740,19581,14545
2020/4/7,413507,21763,17123
2020/4/8,444699,23559,19278
2020/4/9,480640,25410,21480
2020/4/10,515055,28790,23674
2020/4/11,544185,31270,25802
2020/4/12,571440,32988,27675
2020/4/13,598370,43482,29688
2020/4/14,627151,47763,32122
2020/4/15,652591,52096,34727
2020/4/16,682626,54703,36870
2020/4/17,715656,58545,38979
2020/4/18,743588,64840,40959
2020/4/19,769684,70337,42929
2020/4/20,799512,72329,45161
2020/4/21,825429,75204,47677
2020/4/22,854288,77366,50129
2020/4/23,887858,80203,52590
2020/4/24,920185,99079,54776
2020/4/25,950581,100372,56486
2020/4/26,977082,106988,57885
2020/4/27,1000785,111424,59392
2020/4/28,1025362,115936,61619
2020/4/29,1051800,120720,64033
2020/4/30,1081020,153947,66230
2020/5/1,1115946,164015,68135
2020/5/2,1143296,175382,69867
2020/5/3,1167593,180152,71056
2020/5/4,1191678,187180,72435
2020/5/5,1216209,189791,74681
2020/5/6,1240768,189910,76992
2020/5/7,1268180,195036,78918
2020/5/8,1295019,198993,80679
2020/5/9,1320155,212534,82146
2020/5/10,1339022,216169,83122
2020/5/11,1358293,232733,84165
2020/5/12,1381241,230287,85765
2020/5/13,1401649,243430,87503
2020/5/14,1428467,246414,89290
2020/5/15,1453214,250747,90960
2020/5/16,1477373,268376,92159
2020/5/17,1495736,272265,92977
2020/5/18,1518126,283178,94204
2020/5/19,1539133,289392,95661
2020/5/20,1561830,294312,97161
2020/5/21,1587596,298418,98349
2020/5/22,1611252,350135,99569
2020/5/23,1632364,361239,100655
2020/5/24,1652431,366736,101292
2020/5/25,1671104,379157,101884
2020/5/26,1690754,384902,102561
2020/5/27,1709303,391508,104023
2020/5/28,1731625,399991,105130
2020/5/29,1756098,406446,106263
2020/5/30,1779731,416461,107217
2020/5/31,1798718,444758,107830
2020/6/1,1816153,458231,108606
2020/6/2,1837656,463868,109587
2020/6/3,1857501,479258,110598
2020/6/4,1879150,485002,111609
2020/6/5,1904550,491706,112503
2020/6/6,1925710,500849,113146
2020/6/7,1943626,506367,113602
2020/6/8,1961263,518522,114109
2020/6/9,1979647,524855,115022
2020/6/10,2000757,533504,115895
2020/6/11,2023890,540292,116725
2020/6/12,2048756,547386,117554
2020/6/13,2073964,556606,118287
2020/6/14,2092912,561816,118629
2020/6/15,2112731,576334,119024
2020/6/16,2136401,583503,119838
2020/6/17,2163465,592191,120577
2020/6/18,2191990,599115,121267
2020/6/19,2223553,606715,121895
2020/6/20,2255823,617460,122457
2020/6/21,2280971,622133,122771
2020/6/22,2313121,640198,123179
2020/6/23,2350198,647548,123927
2020/6/24,2386072,656161,124675
2020/6/25,2426391,663562,125205
2020/6/26,2472384,670809,125831
2020/6/27,2513730,679308,126333
2020/6/28,2554461,685164,126652
2020/6/29,2595743,705203,127035
2020/6/30,2642174,720631,127592
2020/7/1,2693993,729994,128297
2020/7/2,2750621,781970,129013
2020/7/3,2801981,790404,129680
2020/7/4,2847663,894325,129986
2020/7/5,2898432,906763,130311
2020/7/6,2941516,924148,130687
2020/7/7,3002170,936476,131850
2020/7/8,3062290,953462,132691
2020/7/9,3124786,969111,133703
2020/7/10,3192841,983185,134509
2020/7/11,3252859,995576,135236
2020/7/12,3311312,1006326,135708
2020/7/13,3370206,1031939,136152
2020/7/14,3438241,1049098,137081
2020/7/15,3506362,1075882,138054
2020/7/16,3582181,1090645,139009
2020/7/17,3654443,1107204,139933
2020/7/18,3716980,1122720,140802
2020/7/19,3777454,1131121,141267
2020/7/20,3839545,1160087,141830
2020/7/21,3904056,1182018,142924
2020/7/22,3974627,1210849,144147
2020/7/23,4043069,1233269,145233
2020/7/24,4116391,1261624,146333
2020/7/25,4181307,1279414,147246
2020/7/26,4236174,1297863,147780
2020/7/27,4292931,1325804,148900
2020/7/28,4359390,1355363,150241
2020/7/29,4431244,1389425,151668
2020/7/30,4498699,1414155,152894
2020/7/31,4567420,1438160,154111
2020/8/1,4623602,1461885,155205
2020/8/2,4669150,1468689,155635
2020/8/3,4714679,1513446,156214
2020/8/4,4773480,1528979,157554
2020/8/5,4827936,1577851,158951
2020/8/6,4887294,1598624,160189
2020/8/7,4946589,1623870,161421
2020/8/8,5000710,1643118,162496
2020/8/9,5046461,1656864,163056
2020/8/10,5094088,1670755,163644
2020/8/11,5142083,1714960,164664
2020/8/12,5198138,1753760,166167
2020/8/13,5249452,1774648,167229
2020/8/14,5314792,1796326,168569
2020/8/15,5361710,1818527,169573
2020/8/16,5400905,1833067,170182
2020/8/17,5437580,1865580,170673
2020/8/18,5482614,1898159,171946
2020/8/19,5529973,1925049,173246
2020/8/20,5573816,1947035,174339
2020/8/21,5622563,1965056,175422
2020/8/22,5665630,1985484,176397
2020/8/23,5699894,1997761,176893
2020/8/24,5736548,2020774,177367
2020/8/25,5776716,2053699,178594
2020/8/26,5822075,2084465,179778
2020/8/27,5867305,2101326,180877
2020/8/28,5914288,2118367,181835
2020/8/29,5956983,2140614,182737
2020/8/30,5991383,2153939,183202
2020/8/31,6026896,2184825,183744
2020/9/1,6068625,2202663,184788
2020/9/2,6109630,2231757,185849
2020/9/3,6153822,2266957,186881
2020/9/4,6204282,2283454,187831
2020/9/5,6247283,2302187,188613
2020/9/6,6278594,2315995,189057
2020/9/7,6302102,2333551,189354
2020/9/8,6329571,2359111,189809
2020/9/9,6363482,2387479,190959
2020/9/10,6399655,2403511,191860
2020/9/11,6447379,2417878,193032
2020/9/12,6488505,2434658,193755
2020/9/13,6522802,2451406,194181
2020/9/14,6557228,2474570,194619
2020/9/15,6596784,2495127,195821
2020/9/16,6635708,2525573,196765
2020/9/17,6680933,2540334,197631
2020/9/18,6730176,2556465,198539
2020/9/19,6772330,2577446,199261
2020/9/20,6810734,2590671,199529
2020/9/21,6862773,2615949,199957
2020/9/22,6902623,2646959,200986
2020/9/23,6941695,2670256,202041
2020/9/24,6988798,2710183,202948
2020/9/25,7037073,2727335,203876
2020/9/26,7081722,2750459,204652
2020/9/27,7119266,2766280,204968
2020/9/28,7152521,2794608,205326
2020/9/29,7195941,2813305,206186
2020/9/30,7235372,2840688,207122
2020/10/1,7281026,2860650,207988
2020/10/2,7335884,2873369,208843
2020/10/3,7384479,2897322,209524
2020/10/4,7420246,2911699,209907
2020/10/5,7459712,2935142,210388
2020/10/6,7504912,2952390,211077
2020/10/7,7555993,2999895,211997
2020/10/8,7614586,3021252,212990
2020/10/9,7670944,3039089,213957
2020/10/10,7725903,3062983,214611
2020/10/11,7771805,3075077,215079
2020/10/12,7813678,3106728,215474
2020/10/13,7865913,3124593,216268
2020/10/14,7925690,3155794,217251
2020/10/15,7990550,3177397,218110
2020/10/16,8059719,3197539,219042
2020/10/17,8116430,3220573,219811
2020/10/18,8165781,3234138,220301
2020/10/19,8233556,3272603,220779
2020/10/20,8295522,3295148,221704
2020/10/21,8358779,3323354,222854
2020/10/22,8435121,3353056,223743
2020/10/23,8517002,3375427,224703
2020/10/24,8599796,3406656,225654
2020/10/25,8661909,3422878,226113
2020/10/26,8729331,3460455,226646
2020/10/27,8806124,3487666,227616
2020/10/28,8885540,3518140,228654
2020/10/29,8976635,3554336,229655
2020/10/30,9075765,3578452,230723
2020/10/31,9165539,3612478,231631
2020/11/1,9270463,3630579,232125
2020/11/2,9355769,3674981,232699
2020/11/3,9482884,3705130,234277
2020/11/4,9587491,3743527,235399
2020/11/5,9716845,3781751,236548
2020/11/6,9844845,3810791,237780
2020/11/7,9972156,3851465,238857
2020/11/8,10087372,3881491,239428
2020/11/9,10207944,3928845,240207
2020/11/10,10348442,3961873,241625
2020/11/11,10495068,3997175,243061
2020/11/12,10659901,4051256,244264
2020/11/13,10840290,4095146,245464
2020/11/14,11008055,4148444,246810
2020/11/15,11144276,4174884,247584
2020/11/16,11307218,4244811,248413
2020/11/17,11471140,4293640,250132
2020/11/18,11644318,4350789,252068
2020/11/19,11835861,4410709,254108
2020/11/20,12034160,4457930,256056
2020/11/21,12213433,4529700,257671
2020/11/22,12360211,4526513,258703
2020/11/23,12534661,4633600,259800
2020/11/24,12710178,4696664,261929
2020/11/25,12893465,4835956,264188
2020/11/26,13005788,4871203,265574
2020/11/27,13213975,4947446,267123
2020/11/28,13369505,5023063,268481
2020/11/29,13509740,5065030,269517
2020/11/30,13670310,5146319,270863
2020/12/1,13858527,5226581,273408
2020/12/2,14061082,5322128,276227
2020/12/3,14284692,5404018,279177
2020/12/4,14517477,5470389,281855
2020/12/5,14733023,5576026,284200
2020/12/6,14914034,5624444,285550
2020/12/7,15108895,5714557,287163
2020/12/8,15333385,5786915,289790
2020/12/9,15555920,5889896,292967
2020/12/10,15787436,5985047,295959
2020/12/11,16027412,6135314,299374
2020/12/12,16244797,6246605,301831
2020/12/13,16432601,6298082,303457
2020/12/14,16626313,0,305112
2020/12/15,16836417,0,308212
2020/12/16,17083061,0,311931
2020/12/17,17322739,0,315394
2020/12/18,17574674,0,318334
2020/12/19,17766568,0,320985
2020/12/20,17954314,0,322695
2020/12/21,18153413,0,324632
2020/12/22,18351480,0,328024
2020/12/23,18581041,0,331442
2020/12/24,18775207,0,334351
2020/12/25,18872822,0,335750
2020/12/26,19099125,0,337629
2020/12/27,19254759,0,339058
2020/12/28,19429410,0,341059
2020/12/29,19629601,0,344687
2020/12/30,19863235,0,348416
2020/12/31,20098800,0,351861
2021/1/1,20252310,0,354009
2021/1/2,20552726,0,356508
2021/1/3,20761467,0,357948
2021/1/4,20945766,0,360043
2021/1/5,21180814,0,363732
2021/1/6,21436203,0,367654
2021/1/7,21714268,0,371616
2021/1/8,22007515,0,375704
2021/1/9,22270172,0,379030
2021/1/10,22483440,0,381022
2021/1/11,22698422,0,383114
2021/1/12,22925376,0,387584
2021/1/13,23155725,0,391607
2021/1/14,23391339,0,395572
2021/1/15,23634087,0,399462
2021/1/16,23835726,0,402884
2021/1/17,24013519,0,404748
2021/1/18,24156910,0,406254
2021/1/19,24333648,0,408982
2021/1/20,24516852,0,413379
2021/1/21,24710602,0,417557
2021/1/22,24901279,0,421374
2021/1/23,25071901,0,424705
2021/1/24,25202932,0,426591
2021/1/25,25354901,0,428559
2021/1/26,25502471,0,432585
2021/1/27,25655710,0,436530
2021/1/28,25824970,0,440546
2021/1/29,25991464,0,444152
2021/1/30,26133786,0,446910
2021/1/31,26245805,0,448743
2021/2/1,26380978,0,450781
2021/2/2,26496311,0,454246
2021/2/3,26617922,0,458117
2021/2/4,26741846,0,461850
2021/2/5,26876208,0,465465
2021/2/6,26980195,0,468055
2021/2/7,27069854,0,469410
2021/2/8,27160197,0,471008
2021/2/9,27255817,0,474073
2021/2/10,27350956,0,477387
2021/2/11,27456653,0,480557
2021/2/12,27556262,0,483460
2021/2/13,27643381,0,485636
2021/2/14,27708401,0,486756
2021/2/15,27762595,0,487691
2021/2/16,27825319,0,489414
2021/2/17,27895423,0,491804
2021/2/18,27964979,0,494269
2021/2/19,28044574,0,496910
2021/2/20,28116088,0,498703
2021/2/21,28173139,0,499911
2021/2/22,28229362,0,501204
2021/2/23,28301617,0,503466
2021/2/24,28376317,0,506631
2021/2/25,28453812,0,508983
2021/2/26,28530741,0,511079
2021/2/27,28595134,0,512570
2021/2/28,28646373,0,513617
2021/3/1,28705285,0,515143
2021/3/2,28762326,0,517077
2021/3/3,28829520,0,519553
2021/3/4,28897518,0,521475
2021/3/5,28963921,0,523238
2021/3/6,29022116,0,524731
2021/3/7,29063082,0,525408
2021/3/8,29108096,0,526132
2021/3/9,29165791,0,527920
2021/3/10,29223730,0,529474
2021/3/11,29286134,0,531031
2021/3/12,29347338,0,532591
2021/3/13,29400553,0,534316
2021/3/14,29438775,0,534888
2021/3/15,29495424,0,535628
2021/3/16,29549003,0,536914
2021/3/17,29607483,0,538087
2021/3/18,29665679,0,539698
